"","month","town","flat_type","block","street_name","storey_range","floor_area_sqm","flat_model","lease_commence_date","resale_price"
"580","2012-03","CENTRAL AREA","3 ROOM","640","ROWELL RD","01 TO 05",74,"Model A",1984,380000
"581","2012-03","CENTRAL AREA","3 ROOM","640","ROWELL RD","06 TO 10",74,"Model A",1984,388000
"582","2012-03","CENTRAL AREA","3 ROOM","668","CHANDER RD","01 TO 05",73,"Model A",1984,4e+05
"583","2012-03","CENTRAL AREA","3 ROOM","5","TG PAGAR PLAZA","11 TO 15",59,"Improved",1977,460000
"584","2012-03","CENTRAL AREA","3 ROOM","271","QUEEN ST","11 TO 15",68,"Improved",1979,488000
"585","2012-03","CENTRAL AREA","4 ROOM","671A","KLANG LANE","01 TO 05",75,"Model A",2003,495000
"586","2012-03","CENTRAL AREA","3 ROOM","533","UPP CROSS ST","11 TO 15",68,"Improved",1980,503000
"587","2012-03","CENTRAL AREA","4 ROOM","53","CHIN SWEE RD","16 TO 20",77,"Improved",1974,523888
"588","2012-03","CENTRAL AREA","4 ROOM","262","WATERLOO ST","11 TO 15",82,"Improved",1978,533000
"589","2012-03","CENTRAL AREA","5 ROOM","672A","KLANG LANE","01 TO 05",105,"Improved",2002,575500
"590","2012-03","CENTRAL AREA","4 ROOM","8","TG PAGAR PLAZA","21 TO 25",83,"Improved",1980,680000
"591","2012-03","CENTRAL AREA","4 ROOM","232","BAIN ST","21 TO 25",82,"Improved",1980,728000
"961","2012-03","JURONG EAST","3 ROOM","243","JURONG EAST ST 24","01 TO 05",67,"New Generation",1983,304000
"962","2012-03","JURONG EAST","3 ROOM","302","JURONG EAST ST 32","01 TO 05",68,"New Generation",1983,310000
"963","2012-03","JURONG EAST","3 ROOM","264","JURONG EAST ST 24","01 TO 05",68,"New Generation",1983,315000
"964","2012-03","JURONG EAST","3 ROOM","302","JURONG EAST ST 32","01 TO 05",67,"New Generation",1983,318000
"965","2012-03","JURONG EAST","3 ROOM","257","JURONG EAST ST 24","01 TO 05",67,"New Generation",1983,320100
"966","2012-03","JURONG EAST","3 ROOM","257","JURONG EAST ST 24","06 TO 10",67,"New Generation",1983,323000
"967","2012-03","JURONG EAST","3 ROOM","302","JURONG EAST ST 32","01 TO 05",68,"New Generation",1983,323000
"968","2012-03","JURONG EAST","3 ROOM","330","JURONG EAST AVE 1","01 TO 05",74,"Model A",1983,324000
"969","2012-03","JURONG EAST","3 ROOM","264","JURONG EAST ST 24","01 TO 05",68,"New Generation",1983,324000
"970","2012-03","JURONG EAST","3 ROOM","257","JURONG EAST ST 24","06 TO 10",67,"New Generation",1983,324000
"971","2012-03","JURONG EAST","4 ROOM","53","TEBAN GDNS RD","01 TO 05",83,"Simplified",1986,325000
"972","2012-03","JURONG EAST","3 ROOM","264","JURONG EAST ST 24","11 TO 15",68,"New Generation",1983,327000
"973","2012-03","JURONG EAST","3 ROOM","235","JURONG EAST ST 21","01 TO 05",68,"New Generation",1982,328000
"974","2012-03","JURONG EAST","3 ROOM","244","JURONG EAST ST 24","06 TO 10",71,"New Generation",1983,328000
"975","2012-03","JURONG EAST","3 ROOM","304","JURONG EAST ST 32","06 TO 10",67,"New Generation",1983,329000
"976","2012-03","JURONG EAST","3 ROOM","261","JURONG EAST ST 24","06 TO 10",67,"New Generation",1983,331000
"977","2012-03","JURONG EAST","3 ROOM","302","JURONG EAST ST 32","01 TO 05",68,"New Generation",1983,331000
"978","2012-03","JURONG EAST","3 ROOM","101","JURONG EAST ST 13","11 TO 15",68,"New Generation",1983,332000
"979","2012-03","JURONG EAST","3 ROOM","241","JURONG EAST ST 24","06 TO 10",68,"New Generation",1983,333000
"980","2012-03","JURONG EAST","3 ROOM","229","JURONG EAST ST 21","06 TO 10",67,"New Generation",1981,337000
"981","2012-03","JURONG EAST","3 ROOM","241","JURONG EAST ST 24","11 TO 15",68,"New Generation",1983,337000
"982","2012-03","JURONG EAST","3 ROOM","302","JURONG EAST ST 32","01 TO 05",67,"New Generation",1983,338000
"983","2012-03","JURONG EAST","3 ROOM","110","JURONG EAST ST 13","06 TO 10",68,"New Generation",1982,339500
"984","2012-03","JURONG EAST","3 ROOM","244","JURONG EAST ST 24","01 TO 05",71,"New Generation",1983,340000
"985","2012-03","JURONG EAST","3 ROOM","206","JURONG EAST ST 21","06 TO 10",67,"New Generation",1982,343000
"986","2012-03","JURONG EAST","3 ROOM","101","JURONG EAST ST 13","11 TO 15",68,"New Generation",1983,345000
"987","2012-03","JURONG EAST","3 ROOM","244","JURONG EAST ST 24","06 TO 10",67,"New Generation",1983,345000
"988","2012-03","JURONG EAST","3 ROOM","101","JURONG EAST ST 13","11 TO 15",68,"New Generation",1983,346000
"989","2012-03","JURONG EAST","3 ROOM","110","JURONG EAST ST 13","11 TO 15",68,"New Generation",1982,348000
"990","2012-03","JURONG EAST","4 ROOM","47","TEBAN GDNS RD","01 TO 05",93,"New Generation",1985,357000
"991","2012-03","JURONG EAST","4 ROOM","414","PANDAN GDNS","01 TO 05",97,"New Generation",1978,365000
